iteration,ai_model_ms,bias_analysis_ms,xai_analysis_ms,deployments_ms
1,3.2691010273993015,2.5946004316210747,2.5016269646584988,5581.228745635599
2,2.930551767349243,3.0847443267703056,2.7442816644906998,5537.541642785072
3,2.7196072041988373,2.229793928563595,2.634395845234394,5439.734485000372
4,2.5231270119547844,2.617503982037306,2.6385639794170856,5501.944555900991
5,2.8251451440155506,2.135908231139183,2.1823961287736893,5592.120678164065
6,3.1637423671782017,2.6137479580938816,3.240585792809725,5493.853081949055
7,4.1929190047085285,2.1035070531070232,2.0098607055842876,5571.937546599656
8,2.6804222725331783,2.6738313026726246,2.4189800024032593,5851.079232059419
9,4.30621113628149,3.730788826942444,3.737612161785364,5944.0559525974095
10,3.27432993799448,5.192239303141832,4.548447206616402,5652.1441247314215
11,2.277033869177103,2.1234750747680664,3.157861065119505,5347.704396117479
12,2.132621593773365,1.987809780985117,1.9873487763106823,5847.5382486358285
13,2.720337826758623,2.4919467978179455,2.1289847791194916,5685.088918078691
14,3.1442451290786266,2.5081485509872437,1.9926191307604313,5782.041899859905
15,5.283079110085964,3.118968103080988,3.1093591824173927,5771.800157148391
16,4.899406805634499,3.6356807686388493,2.532212994992733,5613.679728936404
17,2.64992518350482,4.32422524318099,2.293295692652464,5562.452938873321
18,3.1516901217401028,2.4004457518458366,2.185751684010029,5634.03262803331
19,2.8417562134563923,1.9441880285739899,2.0302990451455116,5608.0547901801765
20,4.171518143266439,2.6030158624053,2.7321609668433666,5517.405294347554
21,2.2656526416540146,1.8883119337260723,1.8407530151307583,5686.374970246106
22,2.9235100373625755,4.0806373581290245,2.79911607503891,5936.497002840042
23,3.5716290585696697,2.3160469718277454,1.9793948158621788,6080.9545381926
24,2.6389840058982372,2.178858034312725,1.806299202144146,5814.8078680969775
25,2.788255922496319,2.0016152411699295,2.109379041939974,5533.792804926634
26,3.037865273654461,2.155936323106289,3.5566408187150955,5679.625765886158
27,2.427878323942423,1.856883056461811,1.908611971884966,5726.519762072712
28,2.076566219329834,1.9467733800411224,1.8622828647494316,5586.187086068094
29,2.0671593956649303,3.4679542295634747,2.203185111284256,5543.9695762470365
30,2.3611322976648808,1.9655581563711166,1.8644379451870918,5381.184699013829
31,2.0626005716621876,1.7225402407348156,1.7071920447051525,5470.273777842522
32,2.201933413743973,2.570877317339182,2.098596654832363,5771.759401075542
33,2.259430941194296,6.902065128087997,3.5343002527952194,6047.818320337683
34,3.374038264155388,1.8622828647494316,1.7008301801979542,5854.502154979855
35,2.323000691831112,1.7747986130416393,2.06419313326478,5381.151644978672
36,2.021514344960451,1.7553223296999931,1.667788252234459,5469.024925027043
37,2.322619780898094,2.1576290018856525,1.9763382151722908,5649.717860855162
38,2.0416812039911747,1.6958508640527725,3.53290606290102,5606.249545235187
39,2.3980196565389633,1.8435190431773663,3.260644618421793,5507.089054677635
40,2.163731027394533,1.779327169060707,1.7092046327888966,5920.785584952682
41,2.33043497428298,1.825725194066763,1.7204671166837215,5431.365450844169
42,2.0454581826925278,1.7490219324827194,3.3137239515781403,5658.708650618792
43,1.7932937480509281,1.6318601556122303,2.1739499643445015,5562.890248838812
44,1.9288193434476852,1.8235696479678154,1.606944017112255,5598.766596056521
45,1.938316971063614,2.415332943201065,1.6489522531628609,5429.997961036861
46,1.797020435333252,1.8521249294281006,1.7678351141512394,5462.930790614337
47,1.9955039024353027,1.6787578351795673,1.6589616425335407,5596.113753970712
48,1.9434751011431217,1.7516948282718658,1.7223707400262356,5601.738028693944
49,1.7489702440798283,1.8483670428395271,1.660074107348919,5381.242957897484
50,2.8218580409884453,1.5640328638255596,1.5355688519775867,5497.082172892988
